team1,team2,venue,city,toss_winner,toss_decision,winner
Otago,Northern Districts,Seddon Park,Hamilton,Northern Districts,field,Otago
Central Districts,Wellington,Basin Reserve,Wellington,Central Districts,bat,Central Districts
Wellington,Otago,Basin Reserve,Wellington,Wellington,bat,Wellington
Northern Districts,Auckland,Seddon Park,Hamilton,Northern Districts,bat,Northern Districts
Canterbury,Central Districts,McLean Park,Napier,Canterbury,bat,Canterbury
Wellington,Central Districts,Pukekura Park,New Plymouth,Central Districts,field,Wellington
Auckland,Central Districts,Pukekura Park,New Plymouth,Auckland,bat,Auckland
Northern Districts,Otago,Molyneux Park,Alexandra,Northern Districts,bat,Otago
Auckland,Wellington,Eden Park Outer Oval,Auckland,Auckland,bat,Wellington
Otago,Canterbury,Molyneux Park,Alexandra,Otago,bat,Otago
Canterbury,Auckland,Eden Park Outer Oval,Auckland,Auckland,field,Auckland
Wellington,Northern Districts,Bay Oval,Mount Maunganui,Wellington,bat,Northern Districts
Otago,Central Districts,McLean Park,Napier,Otago,bat,Central Districts
Wellington,Northern Districts,Basin Reserve,Wellington,Wellington,bat,Wellington
Central Districts,Auckland,Eden Park Outer Oval,Auckland,Auckland,field,Auckland
Northern Districts,Canterbury,Hagley Oval,Christchurch,Northern Districts,bat,Canterbury
Otago,Wellington,University Oval,Dunedin,Otago,bat,Wellington
Central Districts,Canterbury,Hagley Oval,Christchurch,Central Districts,bat,Central Districts
Canterbury,Wellington,Basin Reserve,Wellington,Canterbury,bat,Canterbury
Auckland,Northern Districts,Eden Park Outer Oval,Auckland,Northern Districts,field,Northern Districts
Central Districts,Otago,University Oval,Dunedin,Central Districts,bat,Otago
Canterbury,Northern Districts,Bay Oval,Mount Maunganui,Canterbury,bat,Northern Districts
Wellington,Auckland,Basin Reserve,Wellington,Wellington,bat,Auckland
Otago,Canterbury,Hagley Oval,Christchurch,Otago,bat,Canterbury
Otago,Auckland,University Oval,Dunedin,Auckland,field,Auckland
Wellington,Auckland,Basin Reserve,Wellington,Auckland,field,Wellington
England,Australia,The Rose Bowl,Southampton,Australia,field,England
Australia,England,The Rose Bowl,Southampton,Australia,bat,England
England,Australia,The Rose Bowl,Southampton,Australia,field,Australia
Australia,England,Old Trafford,Manchester,England,field,Australia
England,Australia,Old Trafford,Manchester,England,bat,England
England,Australia,Old Trafford,Manchester,England,bat,Australia
Pakistan,England,Old Trafford,Manchester,Pakistan,bat,England
Pakistan,England,Old Trafford,Manchester,England,field,England
Pakistan,England,Old Trafford,Manchester,England,field,Pakistan
Ireland,England,The Rose Bowl,Southampton,England,field,England
Ireland,England,The Rose Bowl,Southampton,Ireland,bat,England
England,Ireland,The Rose Bowl,Southampton,Ireland,field,Ireland
Pakistan,Sri Lanka,National Stadium,Karachi,Pakistan,bat,Pakistan
Pakistan,Sri Lanka,National Stadium,Karachi,Sri Lanka,bat,Pakistan
Pakistan,Sri Lanka,Gaddafi Stadium,Lahore,Pakistan,field,Sri Lanka
Pakistan,Sri Lanka,Gaddafi Stadium,Lahore,Sri Lanka,bat,Sri Lanka
Pakistan,Sri Lanka,Gaddafi Stadium,Lahore,Sri Lanka,bat,Sri Lanka
United States of America,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,bat,United States of America
United States of America,Namibia,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Namibia,bat,United States of America
United States of America,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,bat,United States of America
Namibia,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Papua New Guinea,bat,Namibia
Namibia,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Namibia,bat,Namibia
Scotland,Singapore,ICC Academy,Dubai,Scotland,field,Singapore
Hong Kong,Ireland,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,bat,Ireland
Kenya,Netherlands,ICC Academy,Dubai,Netherlands,bat,Netherlands
United Arab Emirates,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Oman
Bermuda,Papua New Guinea,ICC Academy,Dubai,Papua New Guinea,field,Papua New Guinea
Jersey,Nigeria,Sheikh Zayed Stadium,Abu Dhabi,Jersey,bat,Jersey
Namibia,Netherlands,ICC Academy,Dubai,Netherlands,bat,Netherlands
Kenya,Scotland,ICC Academy Ground No 2,Dubai,Scotland,bat,Scotland
United Arab Emirates,Ireland,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,field,United Arab Emirates
Namibia,Papua New Guinea,ICC Academy Ground No 2,Dubai,Papua New Guinea,bat,Papua New Guinea
Canada,Jersey,Tolerance Oval,Abu Dhabi,Jersey,field,Canada
Bermuda,Singapore,ICC Academy Ground No 2,Dubai,Bermuda,bat,Singapore
Hong Kong,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Oman
Papua New Guinea,Scotland,ICC Academy,Dubai,Scotland,bat,Scotland
United Arab Emirates,Hong Kong,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,bat,United Arab Emirates
Ireland,Oman,Tolerance Oval,Abu Dhabi,Oman,field,Ireland
Bermuda,Kenya,ICC Academy,Dubai,Kenya,bat,Kenya
Canada,Nigeria,Sheikh Zayed Stadium,Abu Dhabi,Canada,bat,Canada
Namibia,Scotland,ICC Academy,Dubai,Namibia,bat,Namibia
Netherlands,Singapore,ICC Academy,Dubai,Singapore,bat,Netherlands
United Arab Emirates,Jersey,Tolerance Oval,Abu Dhabi,Jersey,bat,Jersey
Bermuda,Namibia,ICC Academy Ground No 2,Dubai,Namibia,field,Namibia
Nigeria,Oman,Tolerance Oval,Abu Dhabi,Nigeria,bat,Oman
Kenya,Singapore,ICC Academy Ground No 2,Dubai,Singapore,bat,Kenya
Canada,Ireland,Sheikh Zayed Stadium,Abu Dhabi,Canada,bat,Canada
Hong Kong,Jersey,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,bat,Hong Kong
Netherlands,Papua New Guinea,ICC Academy,Dubai,Netherlands,bat,Papua New Guinea
United Arab Emirates,Nigeria,Tolerance Oval,Abu Dhabi,United Arab Emirates,field,United Arab Emirates
Canada,Hong Kong,Tolerance Oval,Abu Dhabi,Hong Kong,bat,Hong Kong
Bermuda,Scotland,Dubai International Cricket Stadium,Dubai,Bermuda,field,Scotland
Papua New Guinea,Singapore,Dubai International Cricket Stadium,Dubai,Singapore,field,Papua New Guinea
Ireland,Jersey,Tolerance Oval,Abu Dhabi,Ireland,field,Ireland
Kenya,Namibia,Dubai International Cricket Stadium,Dubai,Namibia,bat,Namibia
Canada,Oman,Sheikh Zayed Stadium,Abu Dhabi,Canada,bat,Oman
Ireland,Nigeria,Sheikh Zayed Stadium,Abu Dhabi,Nigeria,bat,Ireland
Bermuda,Netherlands,Dubai International Cricket Stadium,Dubai,Netherlands,bat,Netherlands
Namibia,Singapore,Dubai International Cricket Stadium,Dubai,Singapore,field,Namibia
Kenya,Papua New Guinea,Dubai International Cricket Stadium,Dubai,Kenya,field,Papua New Guinea
Hong Kong,Nigeria,Tolerance Oval,Abu Dhabi,Nigeria,bat,Hong Kong
Jersey,Oman,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Jersey
Netherlands,Scotland,Dubai International Cricket Stadium,Dubai,Netherlands,field,Netherlands
United Arab Emirates,Canada,Sheikh Zayed Stadium,Abu Dhabi,Canada,field,United Arab Emirates
United Arab Emirates,Netherlands,Dubai International Cricket Stadium,Dubai,United Arab Emirates,bat,Netherlands
Namibia,Oman,Dubai International Cricket Stadium,Dubai,Namibia,bat,Namibia
United Arab Emirates,Scotland,Dubai International Cricket Stadium,Dubai,Scotland,bat,Scotland
Hong Kong,Oman,Dubai International Cricket Stadium,Dubai,Oman,bat,Oman
Oman,Scotland,ICC Academy,Dubai,Oman,bat,Scotland
Ireland,Netherlands,Dubai International Cricket Stadium,Dubai,Ireland,field,Netherlands
Namibia,Papua New Guinea,Dubai International Cricket Stadium,Dubai,Papua New Guinea,bat,Papua New Guinea
Ireland,Namibia,Dubai International Cricket Stadium,Dubai,Ireland,bat,Ireland
Netherlands,Papua New Guinea,Dubai International Cricket Stadium,Dubai,Papua New Guinea,bat,Netherlands
Netherlands,Scotland,"The Village, Malahide",Dublin,Netherlands,field,Scotland
Ireland,Scotland,"The Village, Malahide",Dublin,Scotland,bat,Ireland
Ireland,Netherlands,"The Village, Malahide",Dublin,Ireland,bat,Netherlands
Netherlands,Scotland,"The Village, Malahide",Dublin,Netherlands,bat,Scotland
Malaysia,Denmark,Kinrara Academy Oval,Kuala Lumpur,Denmark,field,Malaysia
Qatar,Singapore,Kinrara Academy Oval,Kuala Lumpur,Qatar,bat,Qatar
Canada,Vanuatu,Selangor Turf Club,Kuala Lumpur,Canada,field,Canada
Malaysia,Canada,Kinrara Academy Oval,Kuala Lumpur,Malaysia,field,Canada
Denmark,Singapore,Selangor Turf Club,Kuala Lumpur,Singapore,bat,Singapore
Denmark,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Denmark,bat,Denmark
Malaysia,Qatar,Selangor Turf Club,Kuala Lumpur,Malaysia,bat,Qatar
Canada,Qatar,Kinrara Academy Oval,Kuala Lumpur,Canada,bat,Canada
Singapore,Vanuatu,Selangor Turf Club,Kuala Lumpur,Vanuatu,field,Singapore
Malaysia,Singapore,Kinrara Academy Oval,Kuala Lumpur,Malaysia,bat,Singapore
Denmark,Qatar,Selangor Turf Club,Kuala Lumpur,Denmark,bat,Denmark
Canada,Denmark,Kinrara Academy Oval,Kuala Lumpur,Canada,bat,Canada
Malaysia,Vanuatu,Selangor Turf Club,Kuala Lumpur,Vanuatu,bat,Vanuatu
Qatar,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Qatar,bat,Qatar
Canada,Singapore,Selangor Turf Club,Kuala Lumpur,Canada,field,Singapore
Spain,Portugal,La Manga Club Bottom Ground,Murcia,Spain,field,Spain
Gibraltar,Portugal,La Manga Club Bottom Ground,Murcia,Gibraltar,bat,Portugal
Spain,Gibraltar,La Manga Club Bottom Ground,Murcia,Spain,field,Spain
Spain,Portugal,La Manga Club Bottom Ground,Murcia,Portugal,field,Spain
Spain,Gibraltar,La Manga Club Bottom Ground,Murcia,Spain,field,Spain
Nepal,Zimbabwe,Indian Association Ground,Singapore,Nepal,bat,Zimbabwe
Singapore,Nepal,Indian Association Ground,Singapore,Singapore,bat,Nepal
Singapore,Zimbabwe,Indian Association Ground,Singapore,Singapore,bat,Singapore
Nepal,Zimbabwe,Indian Association Ground,Singapore,Nepal,field,Zimbabwe
Singapore,Zimbabwe,Indian Association Ground,Singapore,Zimbabwe,field,Zimbabwe
Cape Town Blitz,Jozi Stars,"New Wanderers Stadium, Johannesburg",Johannesburg,Jozi Stars,field,Cape Town Blitz
Paarl Rocks,Cape Town Blitz,"Boland Park, Paarl",Paarl,Paarl Rocks,bat,Paarl Rocks
Nelson Mandela Bay Giants,Jozi Stars,"St George's Park, Port Elizabeth",Port Elizabeth,Jozi Stars,field,Nelson Mandela Bay Giants
Cape Town Blitz,Jozi Stars,"Newlands, Cape Town",Cape Town,Jozi Stars,field,Cape Town Blitz
Jozi Stars,Nelson Mandela Bay Giants,"New Wanderers Stadium, Johannesburg",Johannesburg,Jozi Stars,bat,Nelson Mandela Bay Giants
Cape Town Blitz,Durban Heat,"Kingsmead, Durban",Durban,Durban Heat,field,Cape Town Blitz
Paarl Rocks,Tshwane Spartans,"Boland Park, Paarl",Paarl,Paarl Rocks,bat,Tshwane Spartans
Cape Town Blitz,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",Port Elizabeth,Cape Town Blitz,bat,Nelson Mandela Bay Giants
Jozi Stars,Paarl Rocks,"Boland Park, Paarl",Paarl,Jozi Stars,bat,Paarl Rocks
Durban Heat,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",Port Elizabeth,Durban Heat,bat,Nelson Mandela Bay Giants
Paarl Rocks,Cape Town Blitz,"Newlands, Cape Town",Cape Town,Cape Town Blitz,field,Paarl Rocks
Tshwane Spartans,Jozi Stars,"New Wanderers Stadium, Johannesburg",Johannesburg,Tshwane Spartans,bat,Tshwane Spartans
Paarl Rocks,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",Port Elizabeth,Nelson Mandela Bay Giants,field,Paarl Rocks
Cape Town Blitz,Durban Heat,"Newlands, Cape Town",Cape Town,Cape Town Blitz,bat,Durban Heat
Paarl Rocks,Tshwane Spartans,"SuperSport Park, Centurion",Centurion,Tshwane Spartans,field,Tshwane Spartans
Nelson Mandela Bay Giants,Durban Heat,"Kingsmead, Durban",Durban,Nelson Mandela Bay Giants,bat,Durban Heat
Jozi Stars,Paarl Rocks,"New Wanderers Stadium, Johannesburg",Johannesburg,Paarl Rocks,field,Paarl Rocks
Cape Town Blitz,Tshwane Spartans,"Newlands, Cape Town",Cape Town,Cape Town Blitz,bat,Cape Town Blitz
Tshwane Spartans,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",Port Elizabeth,Tshwane Spartans,bat,Nelson Mandela Bay Giants
Paarl Rocks,Durban Heat,"Boland Park, Paarl",Paarl,Durban Heat,field,Durban Heat
Nelson Mandela Bay Giants,Cape Town Blitz,"Newlands, Cape Town",Cape Town,Cape Town Blitz,field,Nelson Mandela Bay Giants
Paarl Rocks,Nelson Mandela Bay Giants,"Boland Park, Paarl",Paarl,Nelson Mandela Bay Giants,field,Paarl Rocks
Tshwane Spartans,Nelson Mandela Bay Giants,"St George's Park, Port Elizabeth",Port Elizabeth,Nelson Mandela Bay Giants,field,Tshwane Spartans
Tshwane Spartans,Paarl Rocks,"Boland Park, Paarl",Paarl,Paarl Rocks,field,Paarl Rocks
Malaysia,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Vanuatu,bat,Vanuatu
Malaysia,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Vanuatu,bat,Vanuatu
Malaysia,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Malaysia,bat,Malaysia
Malaysia,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Malaysia,bat,Vanuatu
Malaysia,Vanuatu,Kinrara Academy Oval,Kuala Lumpur,Malaysia,bat,Malaysia
India,Sri Lanka,Holkar Cricket Stadium,Indore,India,field,India
India,Sri Lanka,Maharashtra Cricket Association Stadium,Pune,Sri Lanka,field,India
West Indies,Ireland,"Kensington Oval, Barbados",Bridgetown,Ireland,bat,West Indies
West Indies,Ireland,"Kensington Oval, Barbados",Bridgetown,Ireland,bat,West Indies
West Indies,Ireland,"National Cricket Stadium, Grenada",St George's,West Indies,field,West Indies
West Indies,Ireland,"National Cricket Stadium, Grenada",St George's,Ireland,bat,Ireland
West Indies,Ireland,"Warner Park, St Kitts",Basseterre,West Indies,field,West Indies
Uttarakhand,Karnataka,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Uttarakhand,bat,Karnataka
Bihar,Andhra,Dr P.V.G. Raju ACA Sports Complex,,Andhra,field,Andhra
Tamil Nadu,Kerala,St'Xavier's KCA Cricket Ground,,Kerala,field,Tamil Nadu
Tripura,Vidarbha,Greenfield Stadium,,Vidarbha,field,Vidarbha
Arunachal Pradesh,Chhattisgarh,"Cricket Stadium, Sector-16",,Chhattisgarh,field,Chhattisgarh
Hyderabad (India),Punjab,"GSSS, Sector 26",,Punjab,field,Hyderabad (India)
Haryana,Meghalaya,BKC Ground,,Meghalaya,field,Haryana
Mizoram,Mumbai,Wankhede Stadium,,Mumbai,field,Mumbai
Baroda,Goa,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Baroda,bat,Goa
Rajasthan,Manipur,Greenfield Stadium,,Rajasthan,bat,Rajasthan
Maharashtra,Railways,"GSSS, Sector 26",,Railways,field,Maharashtra
Madhya Pradesh,Puducherry,Wankhede Stadium,,Puducherry,field,Madhya Pradesh
Assam,Bengal,Wankhede Stadium,,Assam,bat,Bengal
Nagaland,Saurashtra,Lalbhai Contractor Stadium,,Saurashtra,field,Saurashtra
Baroda,Karnataka,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Karnataka,field,Baroda
Goa,Bihar,Dr P.V.G. Raju ACA Sports Complex,,Bihar,field,Goa
Manipur,Tripura,Greenfield Stadium,,Manipur,bat,Tripura
Tamil Nadu,Rajasthan,St'Xavier's KCA Cricket Ground,,Rajasthan,field,Tamil Nadu
Arunachal Pradesh,Punjab,"Cricket Stadium, Sector-16",,Punjab,field,Punjab
Himachal,Chhattisgarh,"GSSS, Sector 26",,Chhattisgarh,field,Chhattisgarh
Puducherry,Meghalaya,Wankhede Stadium,,Meghalaya,field,Puducherry
Jammu & Kashmir,Gujarat,Lalbhai Contractor Stadium,,Gujarat,field,Gujarat
Uttarakhand,Services,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Services,field,Services
Uttar Pradesh,Vidarbha,Greenfield Stadium,,Uttar Pradesh,bat,Vidarbha
Hyderabad (India),Railways,"GSSS, Sector 26",,Railways,field,Railways
Mizoram,Bengal,BKC Ground,,Bengal,field,Bengal
Haryana,Mumbai,Wankhede Stadium,,Mumbai,field,Mumbai
Saurashtra,Jharkhand,Lalbhai Contractor Stadium,,Jharkhand,field,Jharkhand
Sikkim,Nagaland,Lalbhai Contractor Stadium,,Sikkim,bat,Nagaland
Baroda,Uttarakhand,Dr P.V.G. Raju ACA Sports Complex,,Uttarakhand,field,Baroda
Services,Bihar,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Bihar,field,Services
Vidarbha,Manipur,St'Xavier's KCA Cricket Ground,,Vidarbha,bat,Vidarbha
Tamil Nadu,Uttar Pradesh,Greenfield Stadium,,Uttar Pradesh,field,Uttar Pradesh
Chhattisgarh,Railways,"GSSS, Sector 26",,Railways,field,Chhattisgarh
Himachal,Hyderabad (India),"Cricket Stadium, Sector-16",,Hyderabad (India),field,Himachal
Bengal,Meghalaya,Wankhede Stadium,,Meghalaya,field,Bengal
Puducherry,Mizoram,BKC Ground,,Mizoram,field,Puducherry
Nagaland,Delhi,C B Patel Ground,,Delhi,field,Delhi
Saurashtra,Gujarat,Lalbhai Contractor Stadium,,Gujarat,field,Saurashtra
Kerala,Tripura,Greenfield Stadium,,Tripura,field,Kerala
Arunachal Pradesh,Maharashtra,"GSSS, Sector 26",,Maharashtra,field,Maharashtra
Chandigarh,Punjab,"Cricket Stadium, Sector-16",,Chandigarh,bat,Punjab
Madhya Pradesh,Mumbai,Wankhede Stadium,,Madhya Pradesh,bat,Mumbai
Assam,Haryana,BKC Ground,,Haryana,field,Haryana
Sikkim,Odisha,Lalbhai Contractor Stadium,,Sikkim,bat,Odisha
Andhra,Baroda,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Baroda,field,Baroda
Karnataka,Services,Dr P.V.G. Raju ACA Sports Complex,,Services,field,Karnataka
Kerala,Manipur,Greenfield Stadium,,Manipur,field,Kerala
Tripura,Uttar Pradesh,St'Xavier's KCA Cricket Ground,,Uttar Pradesh,field,Uttar Pradesh
Arunachal Pradesh,Railways,"Cricket Stadium, Sector-16",,Arunachal Pradesh,bat,Railways
Chhattisgarh,Maharashtra,"GSSS, Sector 26",,Maharashtra,field,Chhattisgarh
Assam,Meghalaya,Wankhede Stadium,,Meghalaya,field,Meghalaya
Madhya Pradesh,Mizoram,BKC Ground,,Mizoram,field,Madhya Pradesh
Saurashtra,Delhi,C B Patel Ground,,Delhi,field,Delhi
Goa,Uttarakhand,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Uttarakhand,field,Uttarakhand
Vidarbha,Rajasthan,Greenfield Stadium,,Vidarbha,bat,Vidarbha
Himachal,Punjab,"Cricket Stadium, Sector-16",,Himachal,bat,Punjab
Chandigarh,Hyderabad (India),"GSSS, Sector 26",,Chandigarh,bat,Hyderabad (India)
Bengal,Haryana,BKC Ground,,Bengal,bat,Haryana
Mumbai,Puducherry,Wankhede Stadium,,Puducherry,field,Mumbai
Jammu & Kashmir,Odisha,Lalbhai Contractor Stadium,,Jammu & Kashmir,bat,Jammu & Kashmir
Sikkim,Jharkhand,C B Patel Ground,,Sikkim,bat,Jharkhand
Services,Goa,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Goa,field,Services
Uttarakhand,Andhra,Dr P.V.G. Raju ACA Sports Complex,,Andhra,field,Andhra
Kerala,Vidarbha,St'Xavier's KCA Cricket Ground,,Vidarbha,field,Kerala
Chhattisgarh,Chandigarh,"Cricket Stadium, Sector-16",,Chandigarh,field,Chandigarh
Railways,Punjab,"GSSS, Sector 26",,Punjab,field,Railways
Bengal,Mumbai,Wankhede Stadium,,Mumbai,field,Mumbai
Puducherry,Haryana,BKC Ground,,Haryana,field,Haryana
Sikkim,Gujarat,Lalbhai Contractor Stadium,,Sikkim,bat,Gujarat
Bihar,Baroda,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Bihar,bat,Baroda
Manipur,Tamil Nadu,Greenfield Stadium,,Tamil Nadu,field,Tamil Nadu
Arunachal Pradesh,Himachal,"Cricket Stadium, Sector-16",,Arunachal Pradesh,bat,Himachal
Hyderabad (India),Maharashtra,"GSSS, Sector 26",,Maharashtra,field,Maharashtra
Mizoram,Assam,BKC Ground,,Assam,field,Assam
Madhya Pradesh,Meghalaya,Wankhede Stadium,,Madhya Pradesh,bat,Madhya Pradesh
Nagaland,Jharkhand,C B Patel Ground,,Nagaland,bat,Jharkhand
Goa,Andhra,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Andhra,field,Andhra
Baroda,Services,Dr P.V.G. Raju ACA Sports Complex,,Services,field,Baroda
Kerala,Rajasthan,Greenfield Stadium,,Rajasthan,field,Rajasthan
Manipur,Uttar Pradesh,St'Xavier's KCA Cricket Ground,,Manipur,bat,Uttar Pradesh
Arunachal Pradesh,Hyderabad (India),"Cricket Stadium, Sector-16",,Hyderabad (India),field,Hyderabad (India)
Punjab,Chhattisgarh,"GSSS, Sector 26",,Chhattisgarh,field,Punjab
Mizoram,Haryana,Wankhede Stadium,,Haryana,field,Haryana
Madhya Pradesh,Bengal,BKC Ground,,Bengal,field,Bengal
Delhi,Jharkhand,C B Patel Ground,,Jharkhand,field,Delhi
Odisha,Gujarat,C B Patel Ground,,Odisha,bat,Gujarat
Bihar,Karnataka,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Bihar,bat,Karnataka
Tripura,Tamil Nadu,Greenfield Stadium,,Tripura,bat,Tamil Nadu
Himachal,Maharashtra,"Cricket Stadium, Sector-16",,Himachal,bat,Maharashtra
Railways,Chandigarh,"GSSS, Sector 26",,Chandigarh,field,Railways
Mumbai,Meghalaya,Wankhede Stadium,,Mumbai,bat,Meghalaya
Assam,Puducherry,BKC Ground,,Puducherry,field,Puducherry
Nagaland,Jammu & Kashmir,Lalbhai Contractor Stadium,,Nagaland,bat,Jammu & Kashmir
Sikkim,Saurashtra,Lalbhai Contractor Stadium,,Sikkim,bat,Saurashtra
Bihar,Uttarakhand,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Uttarakhand,field,Uttarakhand
Karnataka,Goa,Dr P.V.G. Raju ACA Sports Complex,,Goa,field,Karnataka
Kerala,Uttar Pradesh,Greenfield Stadium,,Kerala,bat,Kerala
Tripura,Rajasthan,St'Xavier's KCA Cricket Ground,,Rajasthan,field,Rajasthan
Arunachal Pradesh,Chandigarh,"Cricket Stadium, Sector-16",,Arunachal Pradesh,bat,Chandigarh
Maharashtra,Punjab,"Cricket Stadium, Sector-16",,Punjab,field,Maharashtra
Mumbai,Assam,Wankhede Stadium,,Assam,field,Mumbai
Bengal,Puducherry,BKC Ground,,Puducherry,field,Puducherry
Sikkim,Delhi,C B Patel Ground,,Sikkim,bat,Delhi
Saurashtra,Jammu & Kashmir,C B Patel Ground,,Saurashtra,bat,Jammu & Kashmir
Andhra,Services,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,Andhra,bat,Services
Tamil Nadu,Vidarbha,Greenfield Stadium,,Vidarbha,field,Tamil Nadu
Himachal,Railways,"Cricket Stadium, Sector-16",,Himachal,bat,Himachal
Meghalaya,Mizoram,Wankhede Stadium,,Mizoram,field,Meghalaya
Madhya Pradesh,Haryana,BKC Ground,,Madhya Pradesh,bat,Haryana
Odisha,Nagaland,Lalbhai Contractor Stadium,,Nagaland,field,Odisha
Delhi,Maharashtra,C B Patel Ground,,Maharashtra,field,Delhi
Tamil Nadu,Karnataka,Lalbhai Contractor Stadium,,Karnataka,field,Karnataka
Baroda,Delhi,Lalbhai Contractor Stadium,,Delhi,field,Baroda
Rajasthan,Haryana,C B Patel Ground,,Rajasthan,bat,Haryana
Karnataka,Jharkhand,Lalbhai Contractor Stadium,,Jharkhand,field,Karnataka
Mumbai,Tamil Nadu,C B Patel Ground,,Tamil Nadu,field,Tamil Nadu
Maharashtra,Baroda,C B Patel Ground,,Maharashtra,bat,Maharashtra
Haryana,Delhi,Lalbhai Contractor Stadium,,Delhi,field,Haryana
Punjab,Karnataka,C B Patel Ground,,Karnataka,field,Karnataka
Jharkhand,Mumbai,Lalbhai Contractor Stadium,,Mumbai,field,Mumbai
Baroda,Haryana,C B Patel Ground,,Haryana,field,Haryana
Maharashtra,Rajasthan,Lalbhai Contractor Stadium,,Rajasthan,field,Rajasthan
Karnataka,Mumbai,C B Patel Ground,,Mumbai,field,Mumbai
Punjab,Tamil Nadu,Lalbhai Contractor Stadium,,Tamil Nadu,field,Tamil Nadu
Rajasthan,Delhi,C B Patel Ground,,Rajasthan,bat,Rajasthan
Maharashtra,Haryana,Lalbhai Contractor Stadium,,Maharashtra,bat,Maharashtra
Jharkhand,Tamil Nadu,C B Patel Ground,,Jharkhand,bat,Tamil Nadu
Mumbai,Punjab,Lalbhai Contractor Stadium,,Punjab,field,Mumbai
Haryana,Karnataka,Lalbhai Contractor Stadium,,Karnataka,field,Karnataka
Karnataka,Tamil Nadu,Lalbhai Contractor Stadium,,Tamil Nadu,field,Karnataka
United Arab Emirates,United States of America,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,bat,United States of America
Scotland,United States of America,Sharjah Cricket Stadium,Sharjah,United States of America,bat,United States of America
United Arab Emirates,United States of America,ICC Academy,Dubai,United Arab Emirates,field,United States of America
Scotland,United States of America,ICC Academy,Dubai,Scotland,field,Scotland
United Arab Emirates,Scotland,ICC Academy,Dubai,United Arab Emirates,field,United Arab Emirates
Pakistan,Sri Lanka,National Stadium,Karachi,Pakistan,bat,Pakistan
Spain,Germany,Desert Springs Cricket Ground,Almeria,Spain,field,Spain
Spain,Germany,Desert Springs Cricket Ground,Almeria,Spain,field,Germany
Lancashire,Durham,Riverside Ground,Chester-le-Street,Lancashire,bat,Lancashire
Durham,Nottinghamshire,Riverside Ground,Chester-le-Street,Durham,bat,Nottinghamshire
Worcestershire,Northamptonshire,"County Ground, New Road",Worcester,Northamptonshire,field,Northamptonshire
Glamorgan,Gloucestershire,County Ground,Bristol,Gloucestershire,field,Glamorgan
Hampshire,Sussex,County Ground,Hove,Sussex,field,Sussex
Yorkshire,Derbyshire,Headingley,Leeds,Yorkshire,bat,Yorkshire
Northamptonshire,Somerset,County Ground,Northampton,Somerset,field,Northamptonshire
Glamorgan,Birmingham Bears,Sophia Gardens,Cardiff,Glamorgan,bat,Birmingham Bears
Leicestershire,Durham,Headingley,Leeds,Leicestershire,bat,Leicestershire
Lancashire,Derbyshire,Headingley,Leeds,Lancashire,bat,Lancashire
Yorkshire,Nottinghamshire,Trent Bridge,Nottingham,Yorkshire,bat,Nottinghamshire
Gloucestershire,Worcestershire,"County Ground, New Road",Worcester,Gloucestershire,bat,Gloucestershire
